"GEO_ID","NAME","B25136_001E","B25136_001M","B25136_002E","B25136_002M","B25136_003E","B25136_003M","B25136_004E","B25136_004M","B25136_005E","B25136_005M","B25136_006E","B25136_006M","B25136_007E","B25136_007M","B25136_008E","B25136_008M","B25136_009E","B25136_009M","B25136_010E","B25136_010M","B25136_011E","B25136_011M","B25136_012E","B25136_012M","B25136_013E","B25136_013M",
"Geography","Geographic Area Name","Estimate!!Total Housing Units:","Margin of Error!!Total Housing Units:","Estimate!!Total Housing Units:!!Occupied Units","Margin of Error!!Total Housing Units:!!Occupied Units","Estimate!!Total Housing Units:!!Occupied Units!!1-unit, detached","Margin of Error!!Total Housing Units:!!Occupied Units!!1-unit, detached","Estimate!!Total Housing Units:!!Occupied Units!!1-unit, attached","Margin of Error!!Total Housing Units:!!Occupied Units!!1-unit, attached","Estimate!!Total Housing Units:!!Occupied Units!!2-9 units","Margin of Error!!Total Housing Units:!!Occupied Units!!2-9 units","Estimate!!Total Housing Units:!!Occupied Units!!10 or more units","Margin of Error!!Total Housing Units:!!Occupied Units!!10 or more units","Estimate!!Total Housing Units:!!Occupied Units!!Mobile home, Boat, RV, Van, etc.","Margin of Error!!Total Housing Units:!!Occupied Units!!Mobile home, Boat, RV, Van, etc.","Estimate!!Total Housing Units:!!Vacant Units","Margin of Error!!Total Housing Units:!!Vacant Units","Estimate!!Total Housing Units:!!Vacant Units!!1-unit, detached","Margin of Error!!Total Housing Units:!!Vacant Units!!1-unit, detached","Estimate!!Total Housing Units:!!Vacant Units!!1-unit, attached","Margin of Error!!Total Housing Units:!!Vacant Units!!1-unit, attached","Estimate!!Total Housing Units:!!Vacant Units!!2-9 units","Margin of Error!!Total Housing Units:!!Vacant Units!!2-9 units","Estimate!!Total Housing Units:!!Vacant Units!!10 or more units","Margin of Error!!Total Housing Units:!!Vacant Units!!10 or more units","Estimate!!Total Housing Units:!!Vacant Units!!Mobile home","Margin of Error!!Total Housing Units:!!Vacant Units!!Mobile home",
"0500000US39035","Cuyahoga County, Ohio","615513","271","554173","1923","342678","2291","28955","1243","75082","1831","104549","2279","2909","345","61340","1970","23451","1351","3902","439","17495","957","15840","1127","652","196",
"1400000US39035115800","Census Tract 1158; Cuyahoga County; Ohio","1208","177","1053","196","748","181","41","37","264","125","0","13","0","13","155","95","97","78","0","13","58","63","0","13","0","13",
"1400000US39035115900","Census Tract 1159; Cuyahoga County; Ohio","1689","178","1486","201","862","144","75","65","536","189","13","22","0","13","203","86","139","72","0","13","64","58","0","13","0","13",
"1400000US39035116300","Census Tract 1163; Cuyahoga County; Ohio","847","141","587","139","221","78","146","97","210","104","0","13","10","15","260","99","62","49","25","32","135","70","38","44","0","13",
"1400000US39035116400","Census Tract 1164; Cuyahoga County; Ohio","1245","148","940","150","576","126","105","87","138","101","121","85","0","13","305","116","47","54","78","57","121","72","59","64","0","13",
"1400000US39035116500","Census Tract 1165; Cuyahoga County; Ohio","1446","272","1240","280","696","202","0","13","95","82","407","216","42","67","206","104","42","51","51","40","76","68","37","44","0","13",
"1400000US39035116600","Census Tract 1166; Cuyahoga County; Ohio","1213","187","853","192","283","114","130","63","440","186","0","13","0","13","360","115","31","36","112","74","165","77","34","39","18","27",
"1400000US39035116700","Census Tract 1167; Cuyahoga County; Ohio","752","112","554","109","290","60","133","71","118","96","0","13","13","24","198","71","78","55","26","29","94","49","0","13","0","13",
"1400000US39035116800","Census Tract 1168; Cuyahoga County; Ohio","1191","189","761","159","393","135","61","75","307","148","0","13","0","13","430","158","220","126","50","45","160","81","0","13","0","13",
"1400000US39035116900","Census Tract 1169; Cuyahoga County; Ohio","986","295","704","306","229","79","119","84","318","288","38","47","0","13","282","98","61","47","54","43","154","78","13","21","0","13",
"1400000US39035117101","Census Tract 1171.01; Cuyahoga County; Ohio","1566","254","1231","251","554","145","16","23","264","143","375","235","22","27","335","152","90","103","38","46","169","99","38","44","0","13",
"1400000US39035117102","Census Tract 1171.02; Cuyahoga County; Ohio","554","81","404","98","278","88","43","30","83","61","0","13","0","13","150","63","55","33","19","29","76","50","0","13","0","13",
"1400000US39035117201","Census Tract 1172.01; Cuyahoga County; Ohio","2331","348","2079","355","350","201","0","13","329","157","1237","308","163","96","252","144","74","70","33","54","0","13","145","124","0","13",
"1400000US39035117203","Census Tract 1172.03; Cuyahoga County; Ohio","1029","100","831","122","347","95","109","85","375","102","0","13","0","13","198","70","50","44","61","43","87","44","0","13","0","13",
"1400000US39035117300","Census Tract 1173; Cuyahoga County; Ohio","1138","132","799","124","463","111","120","65","202","88","14","22","0","13","339","89","69","53","87","48","170","74","13","22","0","13",
"1400000US39035117400","Census Tract 1174; Cuyahoga County; Ohio","749","112","615","102","257","62","56","54","302","106","0","13","0","13","134","75","28","33","41","36","65","61","0","13","0","13",
"1400000US39035117500","Census Tract 1175; Cuyahoga County; Ohio","1492","239","1156","225","530","199","137","95","441","190","48","36","0","13","336","136","76","64","130","76","130","82","0","13","0","13",
"1400000US39035117600","Census Tract 1176; Cuyahoga County; Ohio","1864","263","1651","257","664","246","176","104","582","204","219","111","10","15","213","139","127","117","26","42","35","42","25","41","0","13",
"1400000US39035117700","Census Tract 1177; Cuyahoga County; Ohio","2870","360","2518","399","1669","243","42","49","389","165","418","334","0","13","352","230","236","198","0","13","59","95","57","94","0","13",
"1400000US39035117800","Census Tract 1178; Cuyahoga County; Ohio","1078","118","913","116","588","112","120","60","135","74","70","54","0","13","165","63","110","45","18","21","23","32","14","22","0","13",
